Cluster,Size,Emotion,Mean,Median,Std,Min,Max,Q25,Q75,Count
3,14,JOY,54.44444444444444,50.0,20.36821549545114,33.33,100.0,40.0,66.67,9
3,14,SADNESS,56.999,45.0,29.90619783590017,20.0,100.0,33.33,90.0,10
3,14,ANTICIPATION,43.81142857142857,33.34,28.53129731594083,16.67,100.0,20.0,58.335,7
3,14,SURPRISE,33.33,33.33,0.0,33.33,33.33,33.33,33.33,1
3,14,ANGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,14,FEAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,14,DISGUST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,14,TRUST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0,12,JOY,63.195,56.25,17.745848105965518,50.0,100.0,50.0,65.6275,6
0,12,SADNESS,46.875,37.5,33.511891546136276,12.5,100.0,21.875,62.5,4
0,12,ANTICIPATION,68.05499999999999,75.0,32.779543290493436,25.0,100.0,37.4975,100.0,6
0,12,SURPRISE,56.25,56.25,43.75,12.5,100.0,34.375,78.125,2
0,12,ANGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0,12,FEAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0,12,DISGUST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0,12,TRUST,12.5,12.5,0.0,12.5,12.5,12.5,12.5,1
14,12,JOY,71.38833333333334,76.66499999999999,29.97589054371678,25.0,100.0,50.832499999999996,100.0,6
14,12,SADNESS,46.10999999999999,25.0,38.402658762122186,13.33,100.0,19.165,62.5,3
14,12,ANTICIPATION,69.0,100.0,38.0,20.0,100.0,25.0,100.0,5
14,12,SURPRISE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
14,12,ANGER,6.67,6.67,0.0,6.67,6.67,6.67,6.67,1
14,12,FEAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
14,12,DISGUST,27.223333333333333,25.0,17.759122225555583,6.67,50.0,15.835,37.5,3
14,12,TRUST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
11,11,JOY,40.366,40.0,16.285100675157032,16.67,66.67,33.33,45.16,5
11,11,SADNESS,59.41571428571428,50.0,36.857167497223216,10.0,100.0,27.955,100.0,7
11,11,ANTICIPATION,52.096666666666664,36.665,34.67529892525161,16.67,100.0,25.2675,85.0,6
11,11,SURPRISE,36.56,36.56,30.11,6.45,66.67,21.505,51.615,2
11,11,ANGER,16.66,16.66,0.0,16.66,16.66,16.66,16.66,1
11,11,FEAR,33.33,33.33,0.0,33.33,33.33,33.33,33.33,1
11,11,DISGUST,15.523333333333335,10.0,12.897892161986094,3.2300000000000004,33.34,6.615,21.67,3
11,11,TRUST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4,9,JOY,100.0,100.0,0.0,100.0,100.0,100.0,100.0,3
4,9,SADNESS,80.0,100.0,24.49489742783178,50.0,100.0,50.0,100.0,5
4,9,ANTICIPATION,66.66666666666667,50.0,23.570226039551585,50.0,100.0,50.0,75.0,3
4,9,SURPRISE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4,9,ANGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4,9,FEAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4,9,DISGUST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4,9,TRUST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10,8,JOY,32.465999999999994,33.33,12.41338728953544,16.67,54.0,25.0,33.33,5
10,8,SADNESS,26.622000000000003,25.0,10.354279115418901,11.11,41.67,22.0,33.33,5
10,8,ANTICIPATION,49.625,50.0,27.048407069548475,8.33,100.0,30.4975,66.67,8
10,8,SURPRISE,18.055,18.055,6.945,11.11,25.0,14.5825,21.5275,2
10,8,ANGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10,8,FEAR,7.1499999999999995,8.33,3.815573351411292,2.0,11.12,5.165,9.725,3
10,8,DISGUST,50.0,50.0,0.0,50.0,50.0,50.0,50.0,1
10,8,TRUST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13,7,JOY,77.77666666666666,100.0,31.428539401138085,33.33,100.0,66.66499999999999,100.0,3
13,7,SADNESS,83.3325,100.0,28.868956835154265,33.33,100.0,83.3325,100.0,4
13,7,ANTICIPATION,66.67,66.67,33.33,33.34,100.0,50.005,83.33500000000001,2
13,7,SURPRISE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13,7,ANGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13,7,FEAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13,7,DISGUST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13,7,TRUST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6,6,JOY,91.66666666666667,100.0,11.785113019775793,75.0,100.0,87.5,100.0,3
6,6,SADNESS,66.66499999999999,66.66499999999999,33.335,33.33,100.0,49.9975,83.3325,2
6,6,ANTICIPATION,62.5,62.5,37.5,25.0,100.0,43.75,81.25,2
6,6,SURPRISE,33.33,33.33,0.0,33.33,33.33,33.33,33.33,1
6,6,ANGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6,6,FEAR,33.34,33.34,0.0,33.34,33.34,33.34,33.34,1
6,6,DISGUST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6,6,TRUST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5,5,JOY,66.25,70.0,34.16412592179112,25.0,100.0,36.25,100.0,4
5,5,SADNESS,20.0,20.0,0.0,20.0,20.0,20.0,20.0,1
5,5,ANTICIPATION,71.66666666666667,75.0,24.608038433722335,40.0,100.0,57.5,87.5,3
5,5,SURPRISE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5,5,ANGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5,5,FEAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5,5,DISGUST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5,5,TRUST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,4,JOY,41.21,41.21,13.339999999999998,27.87,54.55,34.54,47.879999999999995,2
1,4,SADNESS,23.47,23.47,3.799999999999999,19.67,27.27,21.57,25.37,2
1,4,ANTICIPATION,66.84,74.59,34.92435539848946,18.18,100.0,41.43,100.0,4
1,4,SURPRISE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,4,ANGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,4,FEAR,1.6399999999999997,1.6399999999999997,0.0,1.6399999999999997,1.6399999999999997,1.6399999999999997,1.6399999999999997,1
1,4,DISGUST,1.6399999999999997,1.6399999999999997,0.0,1.6399999999999997,1.6399999999999997,1.6399999999999997,1.6399999999999997,1
1,4,TRUST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
