topic_id,size,top_words,representative_docs,top_manual_topics,mapping_entropy
0,22857,"baby, wowwowwow, dive, downtownboy, ahah, baby baby, downtownboy downtownboy, wowwowwow wowwowwow, wowwow, endlessgame","WowWow... この変わり果てた 大地の空白に 言葉を失って | Baby,ILoveYouもっと深く深く | OhIwon'tlose,ifIjusthaveyou. いついつまでも君はMysweetbabe. Wow,WowJustamaninlove,ohyeah. 涙に濡れて 悲しみのMyHeart Wow,Wow,Wow. またいつか逢えたなら","内省／孤独(0.13), 恋愛(0.13), 夢・未来・応援(0.13)",2.079385458503444
1,11088,"music music, music, somewhere, feeling, hey, stage, feeling feeling, tututu tututu, iloveyou, hey hey",言葉が尽きた夜はいつしかTurnON 夢を見たけりゃいつもD.J.OhYeah！ Yougotit？好きよdarlin' 忘れやらぬ人よ Oh！Mr.D.J.今宵５時まで離しませんわ Oh！Mr.D.J.ほれたはれたの話の合間に MusicMusicMusicallNight！ | ビビってるけど もう後には引けねえ 歩いた道振り向いたって 風が吹いているだけ WOW(WOW)WOW(WOW) WOW(WOW)YES!WOW… 俺が恋して | 出て行くChu-Chu-Trai Iamtheman 浮世の“WANTED(おたずね者)” 踊りも旨いメチャ旨い 恋の大泥棒さ!!Cha!! Likenoothercan 心の“HAUNTED(闖入者)”,"恋愛(0.13), 内省／孤独(0.13), 夢・未来・応援(0.13)",2.0794151241121686
2,3613,"remember remember, remember, marylou, marylou marylou, staywithme staywithme, lifeis, ho, 99, staywithme, vagina",そうハートを盗む罪な男さ ダンチョね惚れちゃァ負けさ 泣かないでひとりの女じゃ駄目さ Iamtheman 浮世の“WANTED(おたずね者)” 言葉が旨いメチャ旨い 恋の大泥棒さ! | あの頃からおんなじ夢見る「女の子」 ほどけかけていた靴紐を結ぶ 頬に当たるそよ風なんか懐かしいヘイヘイヘイ 99!!!!! 年齢なんてないないないGO!GO!GO!GO!GO!(GO!!!!!) 99はこれから 一歩一歩大事に刻もう今が最高のCHANCE!! | WhenyoucomebackJoe Whenyoucomeback Whenyoucomebacktotown ジョーよあんた店の隅で ギターを弾いていた 私にとっていい男だったのに 両手に手錠をかけられるなんて,"内省／孤独(0.13), 夢・未来・応援(0.13), 恋愛(0.13)",2.079382550553295
3,3288,"lalalalalalalalalala, ringadingdong, lalalalalalalala, butitsallrightitsallright, butitsallrightitsallright butitsallrightitsallright, ringadingdong ringadingdong, babypleasedontdowhat, lifeisallrightisallrightisallright, whenyoucomebacktotown, lalalalalalala",LalalaLalalalala... | Lalalalalalalalalala | 123456Baby 123456Baby AllIwant AllIwant,"内省／孤独(0.13), 日常／等身大(0.13), 夢・未来・応援(0.13)",2.079392295165704
4,1999,"iloveme, iloveme iloveme, mugo, monthlyday, mugo mugo, ohbabe, 365, nonolady, boy, nonolady ohbabe","こりゃユウコのMonthlyday Oh!babeなんと言うていいのこんな場合 Oh!babe女心解かんないもん ひとつ言葉間違えたら あの娘に悪いじゃない たとえなれ合いの仲でも Monthlyday,Oh!Oh | 目と目で通じ合う そういう仲になりたいわ MUGO・んいくじなしね MUGO・ん淋しがりね 言いたいことならあの日から 誰にも負けずにあふれてる 私気持ちはわがままだわ | 誰もが微笑んだ君の笑顔忘れはしない すべての明日はいつだってきっと君の味方さ OhByeForNow… OhByeForNow OhByeForNow","恋愛(0.13), 内省／孤独(0.13), 日常／等身大(0.13)",2.0793431164694836
5,1618,"babyiloveyou babyiloveyou, pointofview pointofview, pointofview, babyiloveyou, soundsgood, byebyelove, byebyelove byebyelove, wegottagowegottagogotoheaven, bitch, iknowiwant iknowiwant",pointofview変えてみて pointofview気付くかな? pointofview今日もねほら pointofview いいことがあるといいな ステキな日だといいな いろんなもしもにいろんなまさかに | だってアイツ金ないからキライ だってあの娘（こ）ブスだからキライ うるせー！うるせーんだ!!Bitch！ Bitch!! だって朝は眩しいからキライ だって仕事はタルイからキライ だって恋は疲れるからキライ | だって秋は辛気臭くてキライ だって春はみんな浮かれてキライ うるせー！うるせーんだ!!Bitch！ Bitch!! だって犬はしつこいからキライ だって猫はわがままだからキライ だってアイツ金ないからキライ,"恋愛(0.13), 内省／孤独(0.13), 日常／等身大(0.13)",2.079388192633386
6,1022,"goodbye goodbye, pacifichotel, goodbye, summerfallinlove, sayyeahyeahyeahyeahyeah, heat, tome, rcc, ohdearboy, makeyourdreamscometrue","闇に踊る AhahSafeinside You’llbeknockeduponyourdoor 夏が来る前に 抱きしめて君だけの 熱いSpecialDownBeat It’syou時間をまくらに | 1993 ジェラシーさoh君に夢中 僕には合わないひとだと思った Love 今日からはohとんでもない 不思議な気分に戸惑うよ 夏の日の君に | 愛されたいのさ 涙の･･･Dirtyoldman 恋に濡れた真夏の情緒にも 早幾年あやまちと無礼 見舞い中Woo,hoo･･ Lalalu･･･終わりじゃないアイ Lalalu･･･","恋愛(0.13), 別れ／未練(0.13), 内省／孤独(0.13)",2.0793548659451644
7,939,"sachiko sachiko, sachiko, 100 100, taketakemehome, goforitbaby, babybabybabybabybaby, happydayhappyday, formyselfformyself, taketakemehome taketakemehome, music music",幸せをふたりフォーエバー 共に生きてゆきます HappyDayHappyDay この喜びに HappyDayHappyDay この祝福をTogetherForever 幸せを歌うフォーエバー | 結婚するぞ! 上も下もない所で ちょうどいいくらいの温かさで ちょうどいい幸せがいい ちょうどいいシワ寄せがいい LalaLalaLalaLalala LalaLalaLalaLalala | ohtogether Deepinsideofmyheart そういつだってどんな言葉だろうと 君に愛を伝え続けるよ 今ある物全て失ってしまって訪れる最大の不幸は 昔は君が隣に居たという人生を生きて行くこと もう君を知ってしまった愛を知ってしまった,"内省／孤独(0.13), 恋愛(0.13), 日常／等身大(0.13)",2.0793617556758677
8,779,"loveloveiminlove, nono nono, goodluckmyway, nono, yesonlylovelovelovelovelov, weprayforyourlove, onemorechanc, sunday, dancinallnight, sunday sunday",はにかみほらあなたに会えた(Hey!) | 何も言えずに終わった恋なのに 今でも私の胸を焦がしているの darlingdarling 数えきれない涙の欠片 あなたを映し出す宝物 思い出はまだこの胸にある もう一度会えたら | 何度も onemorechanc 信じて 必ず飛べる 心のままいこう 君が歩いた道のりが 今照らすよ,"恋愛(0.13), 内省／孤独(0.13), 夢・未来・応援(0.13)",2.0793551853561403
9,695,"iloveme iloveme, iloveme, goodtimebadtime, goodtimebadtime goodtimebadtime, boyyoullbemine, shinymakeup, darling, boyyoullbemine oursky, sandbeige, darling darling",あたしに不安などないのあなたがそばにいるから・・・ 5年たった今でもゆらゆらと陽炎のように 星になった君に触れることはできないけど 今夜も夢を見よう・・・ EverydayEverynightImissyou EverydayEverynightEverythingit'syou Lalalalala... | lalalaGetBackHome 次の夢を探すの lalalaGetBackHome さえない自分が 窓に映っている 昨日ふと気づいたら 流れ星をただ見過ごしてた | 忘れよう忘れない許さないでくれ憎んでくれ GoodtimeBadtime今夜はどう？どっちに出てる GoodtimeBadtimeあの女はどう？今日は笑ったかい？ 許してくれ GoodtimeBadtimeあの女はどう？まだ泣いている？ GoodtimeBadtime「罪滅星」今夜も見える GoodtimeBadtime揺らめいてる真夜中の空に,"恋愛(0.13), 内省／孤独(0.13), 別れ／未練(0.13)",2.079375325453369
